2023-09-17 23:11:18,510 INFO    MainThread:8114 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_setup.py:_flush():76] Configure stats pid to 8114
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_setup.py:_flush():76] Loading settings from /home/devtrio3/.config/wandb/settings
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_setup.py:_flush():76] Loading settings from /home/devtrio3/Downloads/slt_changes/wandb/settings
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-17 23:11:18,511 WARNING MainThread:8114 [wandb_setup.py:_flush():76] Could not find program at -m signjoey.__main__
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': None, 'program': '-m signjoey.__main__'}
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_init.py:_log_setup():524] Logging user logs to /home/devtrio3/Downloads/slt_changes/wandb/run-20230917_231118-9jjrhfq1/logs/debug.log
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_init.py:_log_setup():525] Logging internal logs to /home/devtrio3/Downloads/slt_changes/wandb/run-20230917_231118-9jjrhfq1/logs/debug-internal.log
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_init.py:init():564] calling init triggers
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_init.py:init():572] wandb.init called with sweep_config: {}
config: {}
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_init.py:init():614] starting backend
2023-09-17 23:11:18,511 INFO    MainThread:8114 [wandb_init.py:init():618] setting up manager
2023-09-17 23:11:18,513 INFO    MainThread:8114 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-17 23:11:18,514 INFO    MainThread:8114 [wandb_init.py:init():624] backend started and connected
2023-09-17 23:11:18,517 INFO    MainThread:8114 [wandb_init.py:init():715] updated telemetry
2023-09-17 23:11:18,531 INFO    MainThread:8114 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2023-09-17 23:11:18,735 INFO    MainThread:8114 [wandb_run.py:_on_init():2220] communicating current version
2023-09-17 23:11:18,831 INFO    MainThread:8114 [wandb_run.py:_on_init():2229] got version response 
2023-09-17 23:11:18,832 INFO    MainThread:8114 [wandb_init.py:init():799] starting run threads in backend
2023-09-17 23:11:18,894 INFO    MainThread:8114 [wandb_run.py:_console_start():2199] atexit reg
2023-09-17 23:11:18,894 INFO    MainThread:8114 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-17 23:11:18,894 INFO    MainThread:8114 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-17 23:11:18,895 INFO    MainThread:8114 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-17 23:11:18,895 INFO    MainThread:8114 [wandb_init.py:init():840] run started, returning control to user process
